n,aos_s,soa_s,speedup_soa_over_aos
1000,0.01956889999564737,0.00013380000018514693,146.25485776209817
10000,0.2349815000052331,0.00040699999954085797,577.3501235142968
100000,2.3140589999966323,0.0030208999960450456,766.0164199497475
500000,11.846781400003238,0.09444169999915175,125.44015408563847
1000000,23.580031999998027,0.18941439999616705,124.48912015388053
